,id,created_at,text,fav,RT,rate
396,9.87732332093129E+017,2018-04-21 16:38:33,noteはフリーミアムだと思って書いてる。無料コンテンツだけで十分価値があると判断してもらえたら初めて有料コンテンツにまで手を出してもらえる。全部有料コンテンツにすると相当他の要素で期待値高くないと売れない気がする。,32,6,18.75
171,9.90246505154986E+017,2018-04-28 15:08:59,ベンチャーか大企業か、どっちがいいかなんて適性次第だと思うけど、ぶっちゃけ違うなって直観で思ってるならさっさと変えた方がいいと思う。責任を取れるのは自分だけだから。自分がパフォーマンス出せそうなところに100%リソース投下した方が幸せだぞ！,21,4,19.047619047619
307,9.88937659878854E+017,2018-04-25 00:28:06,朝起きたら7000ユーザー超えてた...また当分サーバー落ちて使えなくなりそうだ https://t.co/QTF21ZYFTE,21,4,19.047619047619
654,9.83654382590821E+017,2018-04-10 10:34:14,プログラミング最初本当に訳わからなかったけど、やっとわかるようになった時の学習方法は・何を作りたいのか決める・何を学べばできるのかメンターに聞く・そこから学習ルート決めてもらって、ひたすらコード書く・つまづいたらメンターに聞くでした。これでだいぶ変わります。,52,10,19.2307692307692
169,9.90247644793471E+017,2018-04-28 15:13:31,3年間働き続けたら認められるという意見もあれば、3年間働けば茹でガエルって意見もある。結局今ある選択肢を正解にできるのは自分の精一杯の頭使って、他者貢献するしかないんでねぇかと思う,31,6,19.3548387096774
952,9.79338685823898E+017,2018-03-29 12:45:12,スケベDMM Bot「変態コンシェルジュ」を作れた人にも、スケベサイエンティスト認定しますので、できたらスクショ送ってリプライください！あとnoteでサポート金5000円賄賂としてお支払いいただいたとしてもスケベサイエンティストと… https://t.co/1HyjaAwl6K,31,6,19.3548387096774
967,9.78808794560872E+017,2018-03-28 01:39:36,#やりたいこと優秀なエンジニアの人が個人でチュートリアルをnoteに作る文化を作る。,25,5,20
215,9.89675801854394E+017,2018-04-27 01:21:13,チュートリアルを作っている理由です。「よくプログラマーになりたいという人で、プログラムの本を買ってきて、最初から最後まで読む人がいます。それも効率が悪いと僕は思っていて、プログラムを書くことは手段より目的を決めたほうがいいに決… https://t.co/CYQE7WnsLA,20,4,20
248,9.89445270994735E+017,2018-04-26 10:05:10,ちなみに、拡散させたかったらポジティブかネガティブな方向で振ることが大事で、記事の中身よりタイトルの方が重要度は高いです。一番良くないのは、厳密な情報を書くことです。もし厳密な情報が拡散されているなら、今頃みんなツイッターから論文読んでますからね,34,7,20.5882352941176
274,9.89255799036768E+017,2018-04-25 21:32:16,プログラミングがエンジニアだけのものだと思っている人が多いし、そういう人は拡張性やらなんやら気にするけど、リサーチャーだって使うし、なんなら事務の人でも使うわけ。綺麗なコードでチュートリアル書いたとして、そういう人たちが理解できるかというと怪しいと思うんだよな。,34,7,20.5882352941176
245,9.89447751430648E+017,2018-04-26 10:15:01,今の時代、手品師になるよりも、手品師になりたい人に手品を教える人の方がもしかして重要なんでないかと。応用レベルに落とし込むスピードって社会のためにかなり大事で、その人材が足りてない。,29,6,20.6896551724138
220,9.89649777691312E+017,2018-04-26 23:37:48,『新卒で市場価値の高いプログラマーになるための最短ルートを考えてみた』https://t.co/k2UXt0ATun https://t.co/X0vie0cVyM,42,9,21.4285714285714
132,9.90520082764743E+017,2018-04-29 09:16:05,会社などのリソースがなくても、時間さえあればひたすら施策打って失敗したり成功したりしていると、強化学習されていくので、PDCAとか言ってないでDCDCDDDDCぐらいの流れでやっていくと感覚的にこれがいける！これはいけない！みたい… https://t.co/fL9zSq1dPa,42,9,21.4285714285714
52,9.91095193788072E+017,2018-04-30 23:21:22,今日一で一番刺激受けた。この世代はすごい。学校の先生が何を言おうが、フォロワーを集めて人気を取れば経済的に正しさを証明できる。友達でインフルエンサーとか普通にいる世代だろうし、はるかに僕らの世代よりも、信用経済を身近に感じる人がい… https://t.co/jQoXXW4ZH1,51,11,21.5686274509804
1028,9.77807785386652E+017,2018-03-25 07:21:57,朝7時に本の着想考えて、朝9時から12時まで執筆して、12時30分にリリースして、16時30分現在で5冊売れるってnoteすごいなぁ。これ普通に電子書籍出版とかやってたらもっと時間がかかってるし。出版ってどんどん途中の仲介通さなくなってくるんじゃないかな。,23,5,21.7391304347826
252,9.89442240270352E+017,2018-04-26 09:53:07,「文字おこし君、AIじゃなくない？」ってツイートくるんですけど、それを狙ってます。同じコンテンツでも、「Line Messaging APIを利用した、OCRアプリを作ってみたよー」じゃ多分バズらないです。プラスにもマイナスにも感情を動かして拡散させないと書いた意味がない。,64,14,21.875
1088,9.76783157650326E+017,2018-03-22 11:30:27,全裸待機して変態博士の復旧を待っている変態紳士がいると考えると、一刻も早く家に帰って直さなければ。,41,9,21.9512195121951
296,9.89103387428848E+017,2018-04-25 11:26:38,47000人がたった1人のおじさんに仕事を押し付けたせいでニートになってしまったみたいなので、是非みみなさまがオリジナルの文字おこしくん作ってください https://t.co/dv3XBHlYK5,93,21,22.5806451612903
981,9.78630858746741E+017,2018-03-27 13:52:33,プログラミングができる段階って①プログラミングの基礎文法が分かる②既存のチュートリアルをググりながら解決できる③新しいプロダクトを仮説検証しながら作れる④嫌いなコードで大規模開発までできるだと思うんだけど、②から③に行く時って大量にプロダクト作る経験積むしかないと思う,30,7,23.3333333333333
141,9.90468066742973E+017,2018-04-29 05:49:23,プログラミングを知らないは何ができるか分からない。そんな中この時代にAIという言葉が出てきて、プログラミングで「いい感じのことができる」ということを理解した結果、大量に「AIで何かしたい」という要望が増えてて、プログラミングで置き換えてもほとんどの人は困らないのかもしれない。,21,5,23.8095238095238
250,9.89443987567071E+017,2018-04-26 10:00:04,記事のタイトルをAIにするメリットは・偏差値70の人が「これAIじゃないでしょ」と拡散する・偏差値30の人が「わーAIすごぃー」と拡散するつまりどっちのパイも取れるわけです。これをコテコテの技術用語にすると偏差値80くらいの狭い集団にしか届きません。,150,36,24
987,9.78626650647622E+017,2018-03-27 13:35:50,みんな初心者でも、何かしら自分でプロダクトを作りたいと思っている。そして、その「作りたい」ものを作る教材が圧倒的に足りてない。タイマーとか、電卓プログラム作りたくてプログラミングはじめたわけじゃないはず。だからなるべく共通してみんながよいと思うもの、それはエロだったんだと思う。,29,7,24.1379310344828
792,9.81714541674246E+017,2018-04-05 02:06:00,本当にこれ。スクールバカ高いけど、コンテンツはネットにたくさんあるから、もっとサクッとプログラマーをメンターとしてマッチングしてプログラマーにお金を還元できるような仕組みできたらもっとIT人材増えそうなんだよなぁ。 https://t.co/3bHXgs4fw4,29,7,24.1379310344828
212,9.89684367940207E+017,2018-04-27 01:55:15,営業やってると価値観の相対化ができるようになる。自分が売れると思ったものと顧客が欲しいものが乖離してることに気づかされる。これが重要で、エンジニアがもの作ろうとすると技術に興味がいってユーザー体験を忘れがちなのよねぇ。この感覚をクリエーターが持ってるとめっちゃ強い気がするん。,29,7,24.1379310344828
665,9.83520988833829E+017,2018-04-10 01:44:11,そういえば、学生時代何もプロダクトを作らずにエンジニア採用受けてた時のこと採用官「君、何か作れるの？」僕「For文とか関数はわかりますけど、プロダクトはないです」って言った瞬間に面接終わったので、今すぐプロダクト作った方がいいです(この事実に4年に気づいた情弱でした),36,9,25
